gene1_name,gene2_name,cell_line,label
BCL2,CHEK1,A375,0
EEFSEC,TUFM,A375,0
HSP90AA1,WEE1,A375,0
CHEK2,MTOR,A375,0
MYD88,SNRPB,A375,0
BCL2,BCL2L2,A375,0
COPS6,PSMD7,A375,0
CYP11B1,NEK9,A375,0
GABPB1,GABPB2,A375,0
RPL7,RPL7L1,A375,0
BCL2L10,PARP2,A375,0
PARP2,UBC,A375,0
BCL2,MTOR,A375,0
EGFR,PIK3R1,A375,0
MCL1,PARP2,A375,0
CHEK1,MAPK3,A375,0
HMGCS1,HMGCS2,A375,0
UTP14A,UTP14C,A375,0
BCL2L1,MAPK1,A375,0
AKT1,WEE1,A375,0
MAPK3,MTOR,A375,0
CLOCK,NPAS2,A375,0
MTOR,UBB,A375,0
CYP11B1,PCMT1,A375,0
KDM6A,KDM6B,A375,0
MICU1,MICU3,A375,0
NFKB1,NFKB2,A375,0
MCL1,WEE1,A375,0
ASPM,DNASE1L3,A375,0
BRCA1,MCL1,A375,0
AKT2,CHEK1,A375,0
CDC25C,EPAS1,A375,0
UBB,UBC,A375,0
BCL2,BRCA2,A375,0
BCL2A1,MTOR,A375,0
FKBP4,FKBP5,A375,0
MAP2K2,MCL1,A375,0
CHEK2,UBB,A375,0
BCL2A1,BCL2L2,A375,0
CHEK1,MAPK1,A375,0
BCL2A1,BCL2L1,A375,0
BCL2L10,UBC,A375,0
SPARC,SPARCL1,A375,0
MTOR,UBC,A375,0
MAP2K1,WEE1,A375,1
ABL1,ABL2,A375,0
MTOR,PTEN,A375,0
MAP2K2,UBC,A375,0
ERLEC1,OS9,A375,0
BCL2L10,BRCA2,A375,0
MOCS3,UBA5,A375,0
PARP2,STAG1,A375,0
AKT2,MCL1,A375,0
BRCA2,MAP2K1,A375,1
RRM2,RRM2B,A375,0
MAP2K2,MAPK1,A375,0
MET,VHL,A375,0
BRCA1,CHEK2,A375,0
PARP1,RAD51,A375,0
MCM2,TP53,A375,0
AKT1,MAP2K2,A375,0
POP7,PRKDC,A375,0
HDAC10,HDAC6,A375,0
TBC1D1,TBC1D4,A375,0
ARPC1B,BRIP1,A375,0
CDT1,EPAS1,A375,0
MCL1,PARP1,A375,1
BCL2L10,MCL1,A375,0
ARHGAP10,CYP11B1,A375,0
EXOSC4,EXOSC6,A375,0
BRCA2,UBC,A375,0
NLRP3,SNRPB,A375,0
SNRPB,ZNF75A,A375,0
BCL2,MAPK3,A375,0
BRCA2,MCL1,A375,0
COX6B1,COX6B2,A375,0
COX4I1,COX4I2,A375,0
BCL2L1,PARP1,A375,0
EIF1,EIF1B,A375,0
CYP11B1,EIF2S1,A375,0
ASCC3,SNRNP200,A375,0
ARHGEF2,TP53,A375,0
BCL2,PARP2,A375,0
BET1,BET1L,A375,0
BCL2A1,MAP2K1,A375,0
ARHGEF10,ASPM,A375,0
HSP90AA1,PARP1,A375,1
BCL2L10,BCL2L2,A375,0
SEC61A1,SEC61A2,A375,0
PARP2,SMC3,A375,0
EPC1,EPC2,A375,0
ASPM,POLL,A375,0
CHEK1,UBC,A375,0
G6PD,H6PD,A375,0
FEN1,RAD54B,A375,0
EGFR,PRKCZ,A375,0
BUB3,RAE1,A375,0
UBC,WEE1,A375,0
BCL2L2,MAP2K1,A375,0
RHPN1,RHPN2,A375,0
AKT1,PARP1,A375,0
CDC25C,PFN2,A375,0
CYP11B1,EAF1,A375,0
BCL2L1,MAPK3,A375,1
MAP2K1,MAP2K2,A375,0
EGFR,PARP1,A375,0
ASPM,PARP3,A375,0
WAS,WASL,A375,0
BCL2L1,BRCA1,A375,0
BCL2L2,HSP90AA1,A375,0
CDK1,MYC,A375,0
MAPK1,MAPK3,A375,1
EGFR,PARP2,A375,0
GNL3,GNL3L,A375,0
MAPK1,UBC,A375,0
LSM6,SNRPF,A375,0
BCL2,BCL2L1,A375,0
BRCA2,MAP2K2,A375,0
GRPEL1,GRPEL2,A375,0
AKT1,AKT2,A375,0
BCL2L1,MAP2K2,A375,0
RCL1,RTCA,A375,0
PDS5A,PDS5B,A375,0
SEC11A,SEC11C,A375,0
NAMPT,PARP2,A375,0
ASPM,PAM,A375,0
BCL2,MAPK1,A375,0
MCL1,UBB,A375,0
BCL2A1,BRCA2,A375,0
BRCA1,PARP1,A375,0
ASPM,RNF135,A375,0
CCT6A,CCT6B,A375,0
BCL2L1,MCL1,A375,0
BCL2L1,PARP1,A375,1
CHEK1,WEE1,A375,0
ASPM,EAF1,A375,0
BCL2L10,MAP2K1,A375,0
PARP1,RAD21,A375,0
BRCA1,MAPK1,A375,0
BCL2L2,CHEK1,A375,0
BRCA2,MTOR,A375,0
TOMM40,TOMM40L,A375,0
CHEK2,MAPK1,A375,0
BRCA2,CHEK2,A375,0
AKT1,BCL2L10,A375,0
AKT2,MAP2K1,A375,0
EXO1,MLKL,A375,0
BCL2A1,PARP1,A375,0
BRCA1,HSP90AA1,A375,0
SIRT6,SIRT7,A375,0
MAPK3,MCL1,A375,0
PARP2,SMC1A,A375,0
CCNL1,CCNL2,A375,0
MAP2K1,MCL1,A375,0
AKT2,MAP2K2,A375,0
AKT2,BCL2,A375,0
TYMS,ZYX,A375,0
MAPK3,WEE1,A375,1
AKT2,CHEK2,A375,0
BCL2L10,HSP90AA1,A375,0
BCL2L1,MAP2K1,A375,0
DIAPH1,INF2,A375,0
RPL10,RPL10L,A375,0
CHEK1,TP53,A375,0
ARPC1B,CDT1,A375,0
TIMM23,TIMM23B,A375,0
PLK1,TP53,A375,0
BCL2L1,WEE1,A375,0
BRCA1,UBB,A375,0
BCL2,MAP2K2,A375,0
BRCA1,PARP1,A375,1
BCL2L2,MAPK3,A375,0
AKT2,EGFR,A375,0
AP2A1,AP2A2,A375,0
BCL2,BCL2A1,A375,0
AKT1,MCL1,A375,0
BRCA1,WEE1,A375,0
BRCA2,MAPK3,A375,0
MAPK1,WEE1,A375,0
AKT1,BCL2A1,A375,0
ATP6V1B1,ATP6V1B2,A375,0
FANCI,FMNL2,A375,0
BCL2L10,BRCA1,A375,0
BRCA2,WEE1,A375,1
AKT1,MAPK1,A375,0
E2F7,E2F8,A375,0
ARPC1B,CDC25C,A375,0
BIRC6,CCNA2,A375,0
RPL3,RPL3L,A375,0
BRCA2,CHEK1,A375,0
ARPC1B,ASPM,A375,0
CHEK2,WEE1,A375,0
BRCA2,PARP1,A375,1
POLR2B,POLR3B,A375,0
CHEK2,MAPK3,A375,0
PDCD2,PDCD2L,A375,0
AKT2,BCL2L1,A375,0
BCL2A1,MCL1,A375,0
CHEK1,CHEK2,A375,0
BCL2L2,MAP2K2,A375,0
ARHGEF11,ARHGEF12,A375,0
SEPHS1,SEPHS2,A375,0
MAPK1,PARP1,A375,0
CHEK1,PARP2,A375,0
ARHGEF6,ARHGEF7,A375,0
AKR7A2,CYP11B1,A375,0
MAPK1,MYC,A375,0
CYP11B1,SLC16A1,A375,0
ASPM,MLH1,A375,0
BCL2A1,UBB,A375,0
BCL2L1,BCL2L2,A375,1
PPIL2,PPWD1,A375,0
AKT1,PARP2,A375,0
EXO1,ZYX,A375,0
MAPK8IP3,SPAG9,A375,0
BCL2,BRCA1,A375,0
CDNF,MANF,A375,0
TOP1,TOP1MT,A375,0
CPSF6,CPSF7,A375,0
UBE2V1,UBE2V2,A375,0
HNRNPA2B1,TNFRSF1A,A375,0
BCL2L10,WEE1,A375,0
