Gene Name,CN,Expression,HotspotMutation
AARS2,1.0114611667512112,3.819668183496456,0.0
AATF,1.0290466450629483,6.265474403232111,0.0
ACTL6A,1.0074787847035374,5.818646082822539,0.0
ACTR10,1.0379206265378822,4.985955754607509,0.0
ADAT2,1.0114611667512112,3.975446765640962,0.0
AFG3L2,0.8900338400286845,4.903520373723376,0.0
ANKZF1,0.9663952315947956,5.80683958179819,0.0
ARGLU1,0.9969043284212332,7.436295119839363,0.0
ARIH1,1.0225088975814338,5.659068274843228,0.0
ARL2,1.0048350751249808,6.415657274159,0.0
ASCC3,1.0114611667512112,4.032982416699428,0.0
ATP1A1,1.012377645837465,7.286326727090547,0.0
ATP6V1G1,1.0051652134091598,6.432625411432297,0.0
AURKA,1.0424090639193568,6.346070440785166,0.0
BDP1,0.9999945000104836,3.472487771462744,0.0
BNIP1,0.9999945000104836,4.4356285940520905,0.0
BOD1L1,0.9341013782598174,4.216454865144756,0.0
BTF3,0.9999945000104836,10.017225996044695,0.0
BUB3,1.0062951747949027,7.645226099459449,0.0
CACTIN,1.0049599970501115,4.612352498752662,0.0
CAMLG,0.9999945000104836,5.749266083814806,0.0
CAPZB,1.012377645837465,7.300764373248062,0.0
CARS2,0.9969043284212332,4.882643049361842,0.0
CCNK,1.02814070872862,6.20945336562895,0.0
CCT8,1.0116486505218814,7.461315727921376,0.0
CDC16,0.9969043284212332,5.256633295059924,0.0
CDC23,0.9999945000104836,5.369466483650723,0.0
CDC26,1.0051652134091598,5.60229058486114,0.0
CDC27,1.020487434547303,5.465648025982281,0.0
CDC40,1.0114611667512112,4.332707933640605,0.0
CDK1,1.0062951747949027,6.773073253438878,0.0
CDK12,1.0290466450629483,4.935931139752267,0.0
CENPK,0.9999945000104836,5.7805725742630365,0.0
CENPM,0.8356450448225882,7.077883864438322,0.0
CENPP,1.0051652134091598,3.643856189774725,0.0
CENPW,1.0114611667512112,5.7230123963923685,0.0
CEP152,1.0225088975814338,4.433627167084783,0.0
CEP192,0.8900338400286845,4.24412594328373,0.0
CHMP2A,1.0242941671397057,7.385776138269413,0.0
CMAS,1.0145471098134045,5.209843230525496,0.0
CNOT1,1.000804224030702,7.334496768390418,0.0
COA3,1.0290466450629483,4.460087240116833,0.0
COPE,1.0049599970501115,7.3275077345872095,0.0
COPS4,0.9341013782598174,5.433627167084783,0.0
COQ2,0.9341013782598174,3.104336659814736,0.0
COX16,1.0379206265378822,5.1969217338203295,0.0
COX5A,1.0225088975814338,8.26486479065274,0.0
COX7C,0.9999945000104836,9.300466964597808,0.0
CSTF3,1.0048350751249808,5.163901213814542,0.0
CTNNBL1,1.0424090639193568,7.291032525582464,0.0
CWC22,0.9663952315947956,3.998195503153252,0.0
DAP3,1.012377645837465,7.341896820977107,0.0
DCAF7,1.020487434547303,6.7953253872778046,0.0
DCTN4,0.9999945000104836,4.669026765509631,0.0
DDX18,0.9663952315947956,4.932155684432056,0.0
DDX46,0.9999945000104836,6.345005983008724,0.0
DHODH,1.000804224030702,3.39231742277876,0.0
DHX37,1.0145471098134045,3.7463127664254574,0.0
DICER1,1.0379206265378822,4.142413437873741,0.0
DLST,1.0379206265378822,5.826294245499634,0.0
