gene1_name,gene2_name,cell_line,label
APC,MLH1,A549,1
CDKN1B,GATA3,A549,0
FGFR2,TSC1,A549,0
FLT3,MLH1,A549,0
PAK3,PAK4,A549,0
BCL2,KIT,A549,0
LDHB,PGAM1,A549,0
CASP8,RUNX1,A549,0
CSNK1G1,CSNK1G3,A549,0
BRCA2,SMO,A549,0
H6PD,PDHA1,A549,0
BRAF,FNTA,A549,0
ARID2,SMAD4,A549,0
KCND1,KCND2,A549,0
ENO2,PGK2,A549,0
KCNS1,KCNV2,A549,0
FGFR2,TP53,A549,0
ENO1,GOT1,A549,0
LDHB,MDH2,A549,0
SMARCB1,TYMS,A549,0
LDHC,TPI1,A549,0
ALDOC,HK2,A549,0
PBRM1,ROR1,A549,0
GAPDHS,PGLS,A549,0
PIK3CA,PIK3CG,A549,0
BBC3,BIK,A549,0
GAPDHS,PFKP,A549,0
BRD4,SMARCB1,A549,0
CDKN2A,VHL,A549,0
HSP90AA1,MAPK1,A549,0
ATM,SETD2,A549,0
ALK,PIK3CA,A549,0
DHFR,KIT,A549,0
PPIL1,PPIL2,A549,0
LDHC,PFKL,A549,0
UBE2D2,UBE2L6,A549,0
DHFR,VEGFA,A549,0
MET,ROR1,A549,0
KIT,PDGFRA,A549,0
ENO1,ENO3,A549,0
CDKN1B,PTEN,A549,0
HK2,RPIA,A549,0
JAK2,RRM2,A549,0
BRCA2,MCL1,A549,0
BTK,CDK4,A549,0
EGFR,HDAC6,A549,0
PDHX,PKM,A549,0
AKT1,HDAC1,A549,0
LDHAL6B,MDH1,A549,0
PDHX,PGK2,A549,0
FLT3,GATA3,A549,0
CDKN2A,SRC,A549,0
ATM,PIK3CA,A549,0
APC,BRCA2,A549,0
BCL2L14,BOK,A549,0
BRAF,SMAD4,A549,0
RPL3,RPL3L,A549,0
BRAF,EGFR,A549,0
PFKM,PKM,A549,0
HDAC6,KIT,A549,0
ABL1,HDAC6,A549,0
HDAC6,IGF1R,A549,0
HSP90AA1,JAK2,A549,0
ERBB2,TSC1,A549,0
BRD4,NF1,A549,0
ALDOC,PDHA2,A549,0
FBP2,TKT,A549,0
PARP1,RRM2,A549,0
JAK2,RPS6KB1,A549,0
PDHA1,PFKP,A549,0
LDHA,TALDO1,A549,0
BRAF,KMT2D,A549,0
BRAF,CDK9,A549,0
DNAJC15,DNAJC19,A549,0
HK1,PDHX,A549,0
CDKN2A,RUNX1,A549,0
GAPDH,ME1,A549,0
KDM6A,SRC,A549,0
GATA3,HDAC1,A549,0
APC,MTOR,A549,0
DLAT,PFKL,A549,0
ALDOC,PFKP,A549,0
OBSCN,OBSL1,A549,0
LDHB,TKT,A549,0
ARID1A,NF1,A549,0
DHFR,TYMS,A549,0
YWHAE,YWHAZ,A549,0
BRCA2,PIK3CA,A549,0
AKT2,MAPK1,A549,0
ADA,VEGFA,A549,0
PBRM1,PTEN,A549,0
ATM,MET,A549,0
BRD4,KIT,A549,0
ALDOA,LDHC,A549,0
CDKN2A,MTOR,A549,0
CDH1,SMARCA4,A549,0
MDH2,ME2,A549,0
ALDOB,PKLR,A549,0
FBP2,PFKL,A549,0
CHEK2,KMT2D,A549,0
MAP2K2,MAPK1,A549,0
ALK,IGF1R,A549,0
MAPK1,WEE1,A549,0
ARID1A,TYMS,A549,0
HK2,RPE,A549,0
BBC3,BCL2L14,A549,0
HK2,TALDO1,A549,0
HDAC1,MAP2K1,A549,0
ALDOA,PGK1,A549,0
SMARCB1,VHL,A549,0
PFKM,RPIA,A549,0
FLT3,JAK2,A549,0
AKT1,BRAF,A549,0
CDKN1B,JAK2,A549,0
PRMT6,PRMT8,A549,0
GAPDHS,HK2,A549,0
CYFIP1,CYFIP2,A549,0
GAPDHS,H6PD,A549,0
FBP2,MDH1,A549,0
ENO2,PFKL,A549,0
ARID1A,VEGFA,A549,0
BID,BOK,A549,0
BCL2L1,BRCA1,A549,0
SMARCA4,WEE1,A549,0
PLCB1,PLCB4,A549,0
G6PD,PDHB,A549,0
KCNA3,KCNA7,A549,0
KCNB1,KCNV2,A549,0
CASP6,CASP7,A549,0
BRD4,CDKN1B,A549,0
ADA,PDGFRA,A549,0
NF1,SMO,A549,0
BRAF,JAK2,A549,0
AKT1,KMT2D,A549,0
MTOR,TSC1,A549,0
CDKN1B,PIK3R1,A549,0
CASP8,ERBB2,A549,0
AKT2,RPS6KB2,A549,0
FLT3,PARP1,A549,0
GOT1,ME2,A549,0
ABL1,BRAF,A549,0
ARID1A,RPS6KB1,A549,0
SRC,TSC1,A549,0
ARID1A,TSC1,A549,0
ABL1,CDK9,A549,0
BCL2A1,MCL1,A549,0
ATM,KIT,A549,0
PRKCH,PRKCZ,A549,0
DUSP6,DUSP9,A549,0
MAP3K1,TSC1,A549,1
HK3,PDHB,A549,0
FLT3,MAP2K1,A549,0
PGAM1,TKT,A549,0
AKT1,RUNX1,A549,0
PGAM1,PGK1,A549,0
ALDOA,FBP1,A549,0
CDK6,RUNX1,A549,0
ALDOC,PFKL,A549,0
ATM,CDK9,A549,0
CDK6,KMT2D,A549,0
PGAM2,PGAM4,A549,0
BCL2,BRD4,A549,0
MLH1,RB1,A549,0
PFKP,PGAM1,A549,0
RPS6KB1,SMAD4,A549,0
ADAMTS14,ADAMTS2,A549,0
KIT,PARP1,A549,0
CDK9,MSH6,A549,0
ENO2,RPIA,A549,0
EIF4A2,EIF4A3,A549,0
BTK,CHEK2,A549,0
CDH1,JAK2,A549,0
LDHA,PGAM2,A549,0
CHEK2,MAPK3,A549,0
BRD4,EGFR,A549,0
HK3,PFKL,A549,0
ENO3,LDHC,A549,0
KCNB1,KCNG4,A549,0
BNIP3L,BOK,A549,0
ALDOA,ME1,A549,0
BRAF,MLH1,A549,0
IGF1R,JAK2,A549,0
APC,ARID2,A549,1
LDHA,PFKL,A549,0
GOT1,PKLR,A549,0
MCL1,PARP1,A549,0
ME1,RPE,A549,0
ENO2,ME1,A549,0
MAP3K1,SRC,A549,0
GAPDH,PGD,A549,0
NF1,PIK3R1,A549,0
LDHA,PGK1,A549,0
CDKN1B,WEE1,A549,0
AKT2,CHEK2,A549,0
CDKN2A,KMT2D,A549,0
CDK9,IGF1R,A549,0
MSH6,SRC,A549,0
PSMB6,PSMB9,A549,0
HK1,PGD,A549,0
ARID1A,CDK9,A549,0
